"V62" "V63" "V64" "V65" "V66" "V67" "V68"
-0.86254660074 -0.517831684132 -0.55439837582 -0.580145994642 -0.5936727904 0.6091290172 -0.6245765304
-0.95370402787234 -0.686008594704255 -0.489424264738298 -0.626438336276596 -0.530311369553191 0.542945451276596 -0.555471943829787
-0.97835670754717 -0.886328097169811 -1 -0.852190776283019 -0.383272814760377 0.404326137754717 -0.425421403641509
-0.954925938315789 -0.666553065978947 -1 -0.992509253368421 -0.298046152968421 0.382823886736842 -0.464401395684211
-0.907257556530612 -0.44475912222449 -1 -0.980412705714286 -0.571349235306122 0.630488241836735 -0.688477935510204
-0.924294370943396 -0.287523804962264 -1 -1 -0.643691341509434 0.686782270754717 -0.729133136981132
-0.985215197708333 -0.808533114875 -0.804117193041667 -0.687611357770833 -0.584101340208333 0.592162118125 -0.60006914875
-0.960708292608696 -0.866774604673913 -0.949873141086957 -0.522695788478261 -0.410140565108696 0.437457424978261 -0.46491264326087
-0.955777678148148 -0.757442729779667 -1 -0.453831075105556 -0.370277771888889 0.387816928388889 -0.405454711166667
-0.975868435423729 -0.420668067966102 -1 -0.432806084220339 -0.399804294050847 0.46546458440678 -0.529027973559322
-0.936192329361702 -0.160476241655319 -1 -0.466614094510638 -0.511788068297872 0.579217206808511 -0.645711034893617
-0.894181480416667 -0.1398641343125 -1 -0.587532171214583 -0.610237150895833 0.65536111625 -0.699851586458333
-0.973481244677419 -0.658263194991936 -0.697334320693548 -0.542016625177419 -0.505568136903226 0.525384071227419 -0.545365492258065
-0.907733282307692 -0.763746820865385 -0.363263030923077 -0.517489907192308 -0.432814702240385 0.449047563461538 -0.465325566980769
-0.932545893278689 -0.804027194377049 -1 -0.653494553262295 -0.465585604213115 0.49738893404918 -0.529515326377049
-0.958620861551724 -0.682708951724138 -1 -1 -0.306655995310345 0.372120698137931 -0.433230683965517
-0.905305322244898 -0.592058110816327 -1 -1 -0.577653876734694 0.639776316326531 -0.701096785714286
-0.917983669322034 -0.225092805138983 -1 -1 -0.678743724237288 0.725601182542373 -0.771835715932203
-0.979210254444444 -0.60873406932037 -0.711017165222222 -0.663851658685185 -0.591236000740741 0.595289097037037 -0.598926379259259
-0.95504165 -0.836553252 -0.53565937138 -0.41771460154 -0.350129316318 0.366967757556 -0.38375773936
-0.905632200714286 -0.922885204642857 -0.996254196428571 -0.249804078989286 -0.338515379776786 0.351601064021429 -0.3646966297375
-0.964872616 -1 -0.995704322666667 -0.386185734718333 -0.2807074687 0.363779659333333 -0.443177663333333
-0.944400471777778 -0.766532560222222 -0.848714699333333 -0.193611039722222 -0.656231086888889 0.712095889333333 -0.767291462666667
-0.932853831730769 -0.728934317884615 -1 -0.0620288532365385 -0.656054392692308 0.700141388269231 -0.743318080961539
-0.977662685384615 -0.822580487903846 -0.796754542134615 -0.592355620153846 -0.598885710769231 0.610726973076923 -0.622409425
-0.954532936590909 -0.807004973693182 -0.623029205545455 -0.577331914568182 -0.326881095204545 0.343218131590909 -0.359567836136364
-0.920094956607143 -0.908045327839286 -0.751838796428571 -0.271935583783929 -0.3153375919125 0.330770908053571 -0.346138936696429
-0.9701671375 -1 -0.99588990125 -0.735944566589286 -0.416754126964286 0.487807340178571 -0.555474586964286
-0.938339487446809 -0.792689815957447 -0.703902460425532 -0.29457708687234 -0.611232132978723 0.674441589361702 -0.736528355531915
-0.934412218297872 -0.566567200212766 -1 -0.915308549148936 -0.570934667659574 0.622347711914894 -0.671925210638298
-0.935566546140351 -0.746790934210526 -0.775792849385965 -0.40691982677193 -0.550324779473684 0.561869964912281 -0.573350138421053
-0.957367927636364 -0.939943161454545 -0.753092870369091 -0.660326689316364 -0.241852521309091 0.283651169345455 -0.325942810618182
-0.946242038596491 -0.883003695842105 -1 -0.598219637333333 -0.248070009508772 0.276833362729825 -0.305883270350877
-0.962087921578947 -0.99403942245614 -1 -0.344448727607018 -0.297995669438597 0.377696839649123 -0.453748392982456
-0.937901386875 -0.385376758439583 -1 -0.679300867354167 -0.564734952083333 0.627387149583333 -0.688132473958333
-0.917154533333333 -0.389496267058824 -1 -0.792722638196078 -0.557814384117647 0.616526837254902 -0.673698639803922
-0.969687264615385 -0.671009827057692 -0.494183868217308 -0.619800697480769 -0.777673085961539 0.779352216153846 -0.780658945961539
-0.87819736875 -0.948318601875 -0.647995276708333 -0.299647269458333 -0.432952926854167 0.443185654 -0.453224149479167
-0.939691263207547 -0.961002108132075 -1 -0.686344532867925 -0.48387199245283 0.521138061320755 -0.558706678867925
